wafer_id,Time,BCl3 Flow,Cl2 Flow,RF Btm Pwr,RF Btm Rfl Pwr,Endpt A,He Press,Pressure,RF Tuner,RF Load,RF Phase Err,RF Pwr,RF Impedance,TCP Tuner,TCP Phase Err,TCP Impedance,TCP Top Pwr,TCP Rfl Pwr,TCP Load,Vat Valve,result
l2901.txm,66.5289,752.0,754.0,134.0,0.0,702.0,101.0,1222.0,9494.0,9001.0,-1005.0,24.0,16483.0,19944.0,-8.0,16442.0,351.0,0.0,27510.0,49.0,Pass
l2901.txm,67.548,751.0,753.0,131.0,0.0,691.0,101.0,1205.0,9429.0,9076.0,-93.0,23.0,16632.0,20030.0,-318.0,16518.0,343.0,0.0,27518.0,50.0,Pass
l2901.txm,68.568,752.0,753.0,131.0,0.0,685.0,102.0,1182.0,9450.0,9104.0,1013.0,22.0,16677.0,19942.0,-506.0,16700.0,347.0,0.0,27484.0,50.0,Pass
l2901.txm,69.599,752.0,754.0,133.0,0.0,678.0,100.0,1182.0,9515.0,9037.0,577.0,22.0,16600.0,19962.0,-446.0,16836.0,344.0,0.0,27498.0,50.0,Pass
l2901.txm,70.6279,751.0,753.0,133.0,0.0,668.0,100.0,1187.0,9490.0,9031.0,50.0,22.0,16703.0,20014.0,-629.0,16612.0,347.0,0.0,27500.0,50.0,Pass
l2901.txm,71.6489,752.0,753.0,134.0,0.0,663.0,101.0,1184.0,9454.0,9020.0,670.0,22.0,16827.0,20002.0,-289.0,16740.0,360.0,0.0,27490.0,50.0,Pass
l2901.txm,72.67,751.0,753.0,132.0,0.0,658.0,101.0,1184.0,9429.0,9083.0,-474.0,22.0,16698.0,19968.0,-322.0,16720.0,349.0,0.0,27490.0,50.0,Pass
l2901.txm,73.689,752.0,754.0,135.0,0.0,651.0,100.0,1183.0,9453.0,9062.0,-88.0,23.0,16461.0,20016.0,-268.0,16260.0,347.0,0.0,27356.0,50.0,Pass
l2901.txm,74.709,752.0,754.0,132.0,0.0,644.0,100.0,1184.0,9478.0,8997.0,-597.0,23.0,16821.0,20026.0,-436.0,16636.0,342.0,0.0,27372.0,50.0,Pass
l2901.txm,75.738,752.0,753.0,133.0,0.0,635.0,102.0,1183.0,9489.0,9015.0,-630.0,23.0,16475.0,20054.0,-80.0,16652.0,342.0,0.0,27266.0,50.0,Pass
l2901.txm,76.795,751.0,754.0,132.0,0.0,622.0,100.0,1183.0,9488.0,9025.0,-1318.0,23.0,16533.0,20056.0,-37.0,16782.0,353.0,0.0,27512.0,50.0,Pass
l2901.txm,77.778,752.0,753.0,132.0,0.0,612.0,100.0,1182.0,9471.0,9016.0,-1538.0,24.0,16226.0,20078.0,-83.0,16766.0,351.0,0.0,27298.0,50.0,Pass
l2901.txm,78.798,752.0,751.0,135.0,0.0,582.0,101.0,1178.0,9456.0,9022.0,-1503.0,25.0,16115.0,20126.0,-324.0,16858.0,349.0,0.0,27244.0,50.0,Pass
l2901.txm,79.83,752.0,753.0,135.0,0.0,555.0,102.0,1179.0,9486.0,9010.0,-1481.0,25.0,16238.0,20250.0,11.0,16788.0,348.0,0.0,27208.0,49.0,Pass
l2901.txm,80.849,752.0,753.0,133.0,0.0,547.0,100.0,1180.0,9443.0,9133.0,-1194.0,25.0,16205.0,20300.0,-444.0,16698.0,347.0,0.0,27080.0,49.0,Pass
l2901.txm,81.869,751.0,753.0,131.0,0.0,541.0,100.0,1180.0,9436.0,9094.0,-1411.0,25.0,15997.0,20318.0,65.0,16568.0,359.0,0.0,27092.0,49.0,Pass
