wafer_id,n_rows,BCl3 Flow_mean,BCl3 Flow_std,Cl2 Flow_mean,Cl2 Flow_std,RF Btm Pwr_mean,RF Btm Pwr_std,RF Btm Rfl Pwr_mean,RF Btm Rfl Pwr_std,Endpt A_mean,Endpt A_std,He Press_mean,He Press_std,Pressure_mean,Pressure_std,RF Tuner_mean,RF Tuner_std,RF Load_mean,RF Load_std,RF Phase Err_mean,RF Phase Err_std,RF Pwr_mean,RF Pwr_std,RF Impedance_mean,RF Impedance_std,TCP Tuner_mean,TCP Tuner_std,TCP Phase Err_mean,TCP Phase Err_std,TCP Impedance_mean,TCP Impedance_std,TCP Top Pwr_mean,TCP Top Pwr_std,TCP Rfl Pwr_mean,TCP Rfl Pwr_std,TCP Load_mean,TCP Load_std,Vat Valve_mean,Vat Valve_std,result
l2901.txm,59,751.7457627118644,0.47681487548332313,753.1864406779661,0.7981568481062328,133.27118644067798,1.4951704835855255,0.01694915254237288,0.13018891098082383,882.0508474576271,178.77711260295234,100.66101694915254,0.8010805093537062,1185.6440677966102,6.101901093990458,9448.898305084746,35.69540437688654,9033.966101694916,41.69717020982044,233.79661016949152,713.8427524047046,21.322033898305083,1.4316698469113718,16731.42372881356,248.25280519926622,19581.01694915254,371.9470434834108,-5.745762711864407,324.03525740585803,16503.898305084746,164.35261660005412,350.0169491525424,5.4377084594959,0.03389830508474576,0.18252082497293803,27720.101694915254,254.0918714461532,49.91525423728814,0.2808936228404341,Pass
l2902.txm,56,751.75,0.4767312946227927,753.1607142857143,0.7330331932031928,133.375,1.15305917217871,0.0,0.0,881.9642857142857,182.5708295216072,100.92857142857143,0.7350236324498288,1186.0714285714287,7.050099013765472,9438.107142857143,41.137763483393016,9033.339285714286,36.81614111708661,130.125,822.4268536140187,21.571428571428573,1.4997835341643972,16686.678571428572,284.9345128680919,19583.035714285714,372.2558242677963,-35.357142857142854,365.3238876081646,16528.821428571428,158.94688731463953,349.98214285714283,4.711653141379927,0.017857142857142856,0.13363062095621217,27720.928571428572,282.8257322189659,49.892857142857146,0.3120938919661807,Pass
l2903.txm,56,751.7321428571429,0.48583841041951326,753.125,0.6892024376045144,133.07142857142858,1.1732959458820982,0.0,0.0,888.875,183.70273046914187,100.64285714285714,0.749025340718831,1185.857142857143,6.209753534645247,9459.160714285714,36.45858262128785,9027.625,37.574925149625614,-16.857142857142858,727.6529749461978,21.678571428571427,1.7384124717908362,16649.48214285714,317.6662623269571,19558.464285714286,380.6677369754709,2.6607142857142856,346.0749407431715,16555.428571428572,163.2745437089828,349.2142857142857,4.483157514375473,0.017857142857142856,0.13363062095621217,27722.571428571428,296.95490059437367,49.875,0.33371190623595776,Pass
l2904.txm,55,751.7818181818182,0.41681815428000457,753.2545454545455,0.5843065474681399,132.92727272727274,1.3588468075779074,0.0,0.0,895.0,188.29950531985912,100.74545454545455,0.75075719352955,1186.1454545454546,6.258085678834759,9446.836363636363,40.713890448112004,9024.781818181818,38.86285997609933,119.56363636363636,829.8239385698445,21.345454545454544,1.8877596148970788,16698.418181818182,301.4962496486306,19551.454545454544,386.63169469156173,-62.96363636363636,336.9973603389511,16467.381818181817,164.13493668648815,350.6363636363636,4.596148292274646,0.05454545454545454,0.2291838836507762,27717.6,271.93092804907434,49.872727272727275,0.3363499860730083,Pass
l2905.txm,55,751.8,0.44721359549995976,753.0909090909091,0.7521014330903485,133.12727272727273,1.2179908388414387,0.0,0.0,905.1454545454545,189.85466353501377,100.63636363636364,0.729374068627704,1186.3818181818183,7.71840251436374,9439.945454545454,34.83422018106483,9027.363636363636,42.07064765295898,231.16363636363636,687.4717977686596,21.454545454545453,1.5374122295716122,16694.272727272728,293.64014601810766,19536.8,388.4900685131273,-33.236363636363635,298.067414922168,16468.8,154.85075251853146,349.7090909090909,5.068686466095781,0.09090909090909091,0.29012942659282975,27741.890909090907,280.94692214717367,49.90909090909091,0.2901294265928273,Pass
l2906.txm,57,751.8421052631579,0.367883603690975,753.0877192982456,0.6059438256138071,133.17543859649123,1.2834496903928183,0.0,0.0,906.4736842105264,186.92063874267586,100.6842105263158,0.735767207381963,1186.3333333333333,6.336778511575276,9443.754385964912,36.15358147727709,9028.263157894737,38.511837844166244,98.80701754385964,656.3834201406896,21.771929824561404,1.5700039110466433,16707.877192982458,266.8080550143727,19526.140350877195,376.90390204726003,2.456140350877193,319.97148702074315,16492.21052631579,171.16728835120222,349.50877192982455,4.326508023706653,0.017543859649122806,0.13245323570650436,27725.57894736842,278.81707696268336,49.87719298245614,0.3311330892662606,Pass
l2907.txm,56,751.8571428571429,0.3530939318019183,753.2678571428571,0.7004173153088007,133.32142857142858,1.3226302012847837,0.0,0.0,904.75,188.72762961956084,100.57142857142857,0.6837634587578295,1186.3035714285713,7.109327145907095,9443.892857142857,39.065762071585915,9027.07142857143,36.71851509319672,101.0,664.7156329794514,21.875,1.5499266844830826,16684.48214285714,273.8295416078098,19546.10714285714,399.4036317298089,-5.196428571428571,342.19730723359305,16457.14285714286,200.5950628025984,349.30357142857144,4.789836371686667,0.08928571428571429,0.2877363511831757,27724.571428571428,264.52721854404444,49.910714285714285,0.28773635118317487,Pass
l2908.txm,56,751.8214285714286,0.43094580368565993,753.1071428571429,0.6231466025837669,133.10714285714286,1.3028440418571148,0.0,0.0,909.3214285714286,187.60481745538283,100.67857142857143,0.8114441191120695,1186.5357142857142,6.630410067434521,9452.035714285714,37.100827869084625,9023.44642857143,40.66578621926767,127.375,684.8331332920052,21.928571428571427,1.6164736351042084,16676.339285714286,314.57366686217875,19523.75,421.91133277890924,-23.107142857142858,331.38446107046275,16517.85714285714,164.2684530739988,349.51785714285717,4.643631304088605,0.17857142857142858,0.3864591173082211,27738.928571428572,263.1620211023049,49.910714285714285,0.28773635118317487,Pass
l2909.txm,56,751.75,0.4767312946227921,753.1428571428571,0.8827348295047444,133.21428571428572,1.3579969971085495,0.0,0.0,908.0357142857143,190.4181966367438,100.625,0.7522692941421267,1185.9642857142858,7.69170577065567,9460.160714285714,36.48400734853301,9026.80357142857,37.213106021135204,41.785714285714285,727.5975589515181,22.160714285714285,1.6925159939009107,16610.535714285714,259.30248845601176,19557.214285714286,414.5156522666229,45.035714285714285,428.1802069344047,16463.64285714286,155.23031903610806,349.42857142857144,4.678216998570539,0.17857142857142858,0.3864591173082211,27743.178571428572,280.1261473721396,49.910714285714285,0.28773635118317487,Pass
l2910.txm,55,751.8,0.4868644955601371,753.290909090909,0.7371799939189444,133.34545454545454,1.3363602006415,0.0,0.0,905.4363636363636,189.86357320712267,100.63636363636364,0.6766922918967362,1186.418181818182,8.022401296302926,9464.2,31.401462575043414,9014.981818181817,41.5146073841788,-659.5090909090909,495.3717972477011,22.69090909090909,1.1034076388662593,16560.072727272727,253.36906579470767,19518.69090909091,435.13049863431974,-40.872727272727275,349.50213555991724,16635.563636363637,193.41940264581837,349.41818181818184,4.425058731942969,0.14545454545454545,0.3558079911965534,27734.18181818182,281.9900898514205,49.90909090909091,0.2901294265928295,Pass
l2911.txm,55,751.709090909091,0.4583677673015456,753.2,0.7793634629666698,133.2,1.445298892578593,0.01818181818181818,0.1348399724926484,908.290909090909,192.61328294714457,100.85454545454546,0.8480518375617832,1186.2,6.354933924533389,9466.4,38.477314143579534,9025.236363636364,38.53327741074522,109.65454545454546,680.6440908809673,21.8,1.614746855518662,16711.6,329.1815664700912,19512.98181818182,427.5561687557263,27.472727272727273,462.3024845330027,16469.854545454546,169.01757723426772,349.8545454545455,5.176221207914706,0.07272727272727272,0.26208179770229884,27738.727272727272,279.31009281107,49.872727272727275,0.3363499860730083,Pass
